num_rooms,num_bathrooms,house_size_sqft,lot_size_sqft,age_of_house,location_score,crime_rate,school_rating,price
2,4,824,5967,47,1,0.113,10,689093.2
2,2,2350,1232,60,1,0.434,5,538560.95
1,3,1990,4951,11,7,0.457,6,982539.87
7,4,1393,7211,77,5,0.551,7,1118218.21
2,4,1890,2551,55,1,0.106,9,730377.11
6,1,3889,5797,17,6,0.991,7,1397076.28
6,3,4739,6520,26,6,0.244,4,1474363.05
1,2,4979,8416,27,4,0.199,10,1320480.38
5,4,2763,1056,79,7,0.527,5,1061515.88
5,4,3932,1471,51,7,0.537,6,1278412.31
1,1,2871,1289,15,9,0.44,9,1132508.43
5,5,3586,7689,76,1,0.772,5,1021724.46
7,2,4812,2896,57,5,0.517,5,1367484.88
7,3,2015,2482,8,10,0.61,7,1428266.24
5,4,3417,3260,25,3,0.724,2,994201.33
6,4,2852,5329,27,7,0.025,3,1243490.08
5,2,1667,5921,76,4,0.571,2,732465.62
7,5,610,2775,35,4,0.884,10,1057113.55
3,4,4827,4016,8,1,0.017,10,1255448.68
4,2,4155,5315,46,1,0.405,2,908092.83
2,1,4293,6492,77,10,0.926,3,1212692.08
3,5,2255,5739,50,2,0.353,6,873764.36
5,3,2077,6363,75,2,0.459,5,816993.34
6,4,1796,3763,56,1,0.982,5,775795.12
1,2,4274,5329,31,8,0.199,2,1136802.96
5,1,2720,7586,66,6,0.065,2,1036520.78
6,3,1472,7000,56,6,0.859,1,891975.29
4,2,1530,1776,53,10,0.868,3,940963.66
5,2,3093,8145,15,10,0.472,7,1508856.46
7,3,4492,845,61,9,0.514,5,1491993.57
1,1,1413,1993,55,5,0.836,7,606950.71
6,1,2681,5312,22,4,0.739,9,1131678.6
6,5,3697,5743,16,6,0.265,6,1464729.3
6,4,1962,7082,79,8,0.017,2,1107371.02
4,3,2878,1046,37,1,0.48,1,682479.59
5,3,3954,4019,71,7,0.859,1,1122291.48
4,3,4053,9783,29,8,0.896,10,1552769.38
2,1,1807,1436,57,9,0.956,9,952651.6
2,4,1689,4575,77,8,0.88,6,942262.47
5,5,1187,3221,21,7,0.58,6,1065705.98
7,2,1707,4983,16,3,0.445,4,938650.59
4,2,2394,1512,14,2,0.775,2,692571.57
1,3,2311,6645,47,3,0.74,10,888676.19
6,4,3683,6123,31,4,0.538,3,1182278.85
6,1,4297,6832,76,4,0.087,3,1147950.32
5,4,2144,4444,39,6,0.926,8,1179656.8
7,4,4468,8573,56,7,0.456,6,1634521.29
2,1,3216,2908,57,4,0.363,7,840031.48
2,3,690,4414,15,10,0.63,9,1098900.56
6,4,1835,7757,27,6,0.674,1,1056142.95
5,2,3606,6079,0,9,0.211,2,1382229.65
4,1,878,5132,40,6,0.837,9,895140.23
2,5,4982,4700,47,3,0.29,5,1121474.73
4,3,4329,8739,30,1,0.187,4,1111599.78
7,1,1115,7763,35,10,0.406,1,1107440.45
2,5,2830,5368,32,10,0.731,9,1354644.15
2,5,2254,8638,32,5,0.965,9,1090621.97
3,4,963,2645,22,10,0.809,4,997028.28
2,4,1466,1182,59,10,0.94,9,1056849.05
1,4,4767,4912,78,3,0.141,10,1181879.32
5,1,3658,7869,29,8,0.071,1,1272671.51
5,1,4124,4610,44,10,0.558,5,1414761.33
4,3,1189,2309,79,1,0.29,1,424450.53
7,4,3122,8373,38,2,0.828,4,1123471.25
2,5,2712,2378,44,3,0.672,5,819193.44
1,2,882,1679,77,3,0.971,3,306024.91
4,3,2756,2962,11,8,0.255,2,1118519.69
3,1,4310,8514,31,5,0.486,6,1248182.41
4,3,4003,2159,55,8,0.501,3,1179657.74
4,3,1912,5231,23,6,0.239,10,1203235.39
2,3,2083,8948,12,2,0.59,1,703690.43
3,3,871,4760,19,4,0.443,5,743891.58
4,2,1110,4611,78,9,0.447,2,822081.41
1,4,615,5042,55,4,0.363,2,467844.75
1,5,946,5017,52,5,0.017,4,707892.33
5,3,1891,880,67,5,0.522,4,843714.64
3,3,3824,3532,53,10,0.335,4,1279842.39
3,3,1840,8633,33,8,0.001,7,1227311.88
5,4,3439,3509,27,6,0.308,1,1141658.72
4,1,4199,3222,49,10,0.279,8,1432703.17
3,1,1573,4441,1,7,0.393,10,1087046.97
1,2,4069,1467,25,6,0.132,9,1203058.58
1,1,3650,3296,50,5,0.508,10,1008668.72
2,3,2105,4299,46,5,0.692,6,865545.4
3,3,2794,8880,25,3,0.63,4,947425.11
4,3,4162,7623,74,7,0.804,6,1334837.93
5,2,4982,1989,73,10,0.452,10,1640865.47
5,3,1483,7404,60,5,0.519,7,1002365.26
4,1,851,9450,22,7,0.81,6,999998.25
7,4,2224,9903,36,2,0.428,1,1033964.07
6,4,2451,1825,40,9,0.702,5,1256845.49
2,5,1779,8585,51,8,0.435,8,1192627.77
5,1,2407,871,48,5,0.418,8,971551.18
3,3,1524,6346,26,2,0.76,10,873185.19
2,4,1045,3485,5,6,0.175,9,965316.5
3,1,4674,8172,73,8,0.339,4,1313808.72
7,4,2881,2648,65,7,0.224,10,1434073.52
1,3,1388,2822,23,8,0.359,6,888356.9
2,4,1605,7138,37,4,0.23,7,929032.46
5,5,3049,4541,27,3,0.579,5,1117850.95
2,5,2490,2098,27,7,0.798,8,1117297.07
2,4,4498,4902,65,2,0.787,3,900629.47
2,1,4275,1704,60,5,0.365,8,1046593.42
6,1,3312,3826,45,7,0.989,5,1170762.37
2,1,1420,7509,68,1,0.594,1,417863.32
3,4,2561,5511,74,4,0.399,6,912354.64
1,1,4987,8821,73,2,0.836,2,877096.75
7,3,4139,6769,42,6,0.73,7,1460937.81
4,5,3665,3420,58,1,0.749,9,1070220.92
2,3,4935,3446,1,7,0.196,3,1280164.39
5,1,3144,5665,14,3,0.468,10,1202852.77
2,3,1545,8145,36,1,0.862,4,634029.09
5,1,4056,3089,70,8,0.504,4,1247001.31
3,4,3181,8170,19,7,0.683,4,1251686.37
5,3,3699,4672,34,2,0.588,3,989792.62
4,4,1438,8490,33,7,0.842,5,1047584.14
1,4,941,2240,30,3,0.285,9,667419.54
5,2,3050,1565,18,9,0.575,8,1299813.03
5,1,4725,4892,67,8,0.123,10,1516516.68
1,5,1096,3466,23,5,0.69,2,643216.47
4,1,2005,9455,38,7,0.732,9,1174906.92
2,5,1361,6768,53,3,0.043,10,913427.29
5,1,3140,8441,38,1,0.676,2,854674.31
1,4,4231,2981,16,1,0.415,7,946508.69
3,3,2051,4688,18,2,0.124,5,774243.42
1,3,3736,1640,47,8,0.42,7,1138555.33
3,2,2236,6699,34,1,0.194,5,733630.19
4,5,1949,4918,31,5,0.416,6,1039524.27
2,5,764,1365,46,9,0.384,8,997635.54
1,5,3159,6805,46,9,0.738,1,1083869.89
7,4,3221,9956,63,2,0.774,1,1087859.15
7,5,1962,9987,45,7,0.607,5,1365962.72
6,3,4752,8026,34,1,0.023,1,1137023.89
5,4,1945,6690,16,3,0.931,3,884427.52
4,1,2798,5111,41,6,0.686,10,1171128.92
1,5,3425,8536,28,9,0.034,9,1481086.56
7,5,2132,9648,69,10,0.819,7,1504546.18
5,1,2874,3782,16,2,0.2,6,964681.81
7,5,1012,6883,13,7,0.579,8,1324818.8
1,1,715,1356,23,4,0.467,8,559589.49
3,4,3831,3819,56,2,0.42,6,967578.98
1,3,2672,3380,49,3,0.89,4,694493.24
6,1,3653,8946,56,6,0.437,4,1264466.95
1,2,2206,9043,60,10,0.075,4,1068108.77
1,1,2606,4819,38,9,0.947,6,1007706.39
6,5,2067,3938,54,8,0.921,1,1078339.61
4,4,2708,1471,35,10,0.684,2,1116382.91
1,4,2831,1577,36,9,0.468,6,1109172.86
6,1,2653,5727,13,4,0.093,1,959176.16
5,3,1628,3822,26,4,0.791,9,947575.68
3,2,4010,2660,30,9,0.075,6,1325172.58
3,4,4823,3939,72,8,0.069,7,1411258.57
1,5,4153,1874,43,2,0.537,1,808266.44
4,5,2865,7563,67,8,0.16,8,1364851.1
4,3,3421,2786,47,1,0.008,5,863387.13
5,4,1579,9993,56,9,0.423,5,1264348.65
1,1,4011,7127,74,9,0.137,6,1202801.05
3,5,3241,1846,21,8,0.161,7,1280700.88
4,3,3520,2976,3,5,0.077,7,1233760.03
1,4,728,3138,71,5,0.205,5,582560.65
7,4,670,1300,45,3,0.715,1,624004.53
4,4,794,3033,58,5,0.809,9,903009.96
6,4,4784,5408,33,4,0.453,6,1421679.97
7,4,925,8034,10,1,0.507,9,1016045.81
4,5,1418,8772,30,9,0.033,4,1218880.46
3,3,3753,7410,10,10,0.069,2,1390227.29
2,4,998,1400,55,4,0.258,3,581826.75
7,2,3309,5084,37,3,0.544,4,1080940.49
5,2,1325,9980,20,6,0.74,10,1208922.93
5,3,4279,5283,9,1,0.605,8,1195255.92
3,1,2358,6701,25,5,0.392,3,876100.38
4,1,2618,6929,7,7,0.118,8,1259553.86
1,1,645,2554,7,2,0.781,6,438796.43
4,2,4077,3264,59,10,0.364,4,1342531.34
3,1,692,5282,71,9,0.736,7,895121.73
5,5,4388,9844,33,6,0.513,5,1468126.62
4,4,551,8200,15,2,0.739,5,713513.54
5,2,2910,7606,12,8,0.907,9,1410575.67
7,3,2320,9443,75,8,0.921,3,1275282.51
1,3,3464,8196,21,1,0.535,10,994318.16
7,4,3021,8138,26,1,0.512,4,1096515.55
5,2,2369,6041,63,1,0.266,5,796573.08
5,1,3068,8194,1,4,0.936,1,982659.11
2,1,2367,7237,25,4,0.458,7,911944.79
2,5,3238,5495,68,8,0.128,8,1308075.55
7,5,3769,3388,29,1,0.433,6,1194009.37
6,1,3699,2582,7,10,0.127,9,1562599.38
7,3,3079,6747,37,3,0.503,3,1158834.59
2,3,4505,7394,60,1,0.561,2,872001.46
5,5,740,4320,64,9,0.338,5,1050755.58
3,4,3940,4018,66,10,0.072,9,1518801.93
7,1,1907,4557,45,9,0.944,1,1055898.59
5,5,4002,4816,71,7,0.773,1,1244668.27
3,5,4538,3637,42,8,0.839,10,1494937.14
3,1,582,6800,58,1,0.367,3,449090.61
2,1,4268,7834,45,5,0.761,10,1247310.95
7,3,1450,8109,71,2,0.485,3,861251.04
4,4,1110,5039,34,1,0.201,5,730965.31
1,4,4105,5228,38,3,0.124,4,951307.85
2,1,3783,4950,50,7,0.345,6,1146225.44
2,2,2673,2246,3,1,0.138,8,776101.92
4,5,3984,7268,79,2,0.998,8,1124096.31
1,5,2022,6590,76,2,0.049,4,661921.81
5,1,3101,4975,50,4,0.441,1,894642.73
6,2,3157,5880,4,3,0.452,7,1188500.32
7,3,2659,1664,54,3,0.301,6,1022967.28
6,1,2949,7660,19,10,0.571,5,1432954.71
5,1,4330,9463,23,5,0.15,4,1328685.79
2,5,621,7017,35,3,0.784,6,716524.96
1,1,4868,6472,33,7,0.332,8,1339383.34
2,1,1817,2302,53,5,0.591,6,751430.7
3,1,4993,5484,33,4,0.716,3,1093112.75
2,5,3018,2210,16,3,0.889,9,997488.22
2,3,1730,4570,4,4,0.836,3,743470.72
5,3,1633,5459,17,2,0.608,4,786354.9
5,1,1801,4801,54,1,0.388,5,678165.92
5,5,4534,4283,52,3,0.503,2,1156577.62
6,3,2410,5362,49,2,0.769,10,1072007.43
3,3,2005,1398,71,1,0.878,10,683996.15
5,3,3685,9983,78,1,0.104,2,939863.94
1,5,2416,3841,44,2,0.385,6,762464.33
6,5,4048,8960,12,9,0.776,2,1590997.93
4,1,3257,7191,15,5,0.432,10,1293130.92
1,4,2456,8087,12,9,0.332,1,1074077.61
7,3,678,866,19,8,0.411,8,1169808.19
7,4,1396,8923,65,6,0.603,10,1286233.59
1,5,2051,3550,46,1,1.0,10,745348.65
5,5,991,9461,18,10,0.493,1,1135141.28
4,5,560,7606,44,5,0.208,10,1033972.74
4,4,1577,7229,36,1,0.163,6,838710.3
6,5,3395,8923,53,7,0.042,1,1365539.23
4,1,4660,2431,5,10,0.559,8,1525765.31
7,5,4183,7252,13,8,0.545,5,1659495.05
3,2,1085,1574,3,8,0.205,3,867867.58
5,4,4460,6907,54,7,0.695,5,1427814.16
4,2,4270,8604,33,2,0.741,1,942264.39
6,5,1034,4819,26,5,0.259,1,903455.8
7,1,3962,1729,6,4,0.344,4,1199048.61
3,3,4511,3812,2,5,0.99,9,1306111.54
2,5,3898,5824,46,10,0.374,9,1511456.91
2,1,2655,7064,1,9,0.761,1,1007220.08
3,4,1504,8773,79,4,0.453,3,723387.05
7,2,2999,5529,24,8,0.793,4,1345350.09
6,2,826,8761,59,8,0.769,2,967315.03
3,2,3206,3619,78,2,0.668,7,858653.5
5,4,501,7455,23,6,0.855,3,909116.44
5,1,1533,1984,14,5,0.939,1,708605.8
2,4,2981,9280,13,2,0.58,1,843156.39
4,2,624,7143,53,10,0.237,3,987713.55
6,5,1604,1327,77,4,0.399,6,932907.67
2,3,3199,1716,5,7,0.758,4,1039253.41
4,4,2361,4374,77,1,0.651,1,644861.86
4,4,3420,4119,17,9,0.178,7,1432446.63
5,1,628,2206,19,10,0.051,2,908487.13
7,1,937,2041,61,1,0.683,5,606313.81
1,4,3048,6006,79,5,0.251,8,1018933.7
7,2,3629,8049,39,7,0.5,7,1458929.29
1,3,1721,3933,38,8,0.747,8,944095.56
3,1,1401,1598,51,2,0.563,10,684377.73
5,2,3668,2323,31,4,0.083,6,1117842.86
4,5,4986,8009,72,2,0.186,7,1297883.18
6,1,4418,5728,26,4,0.219,9,1387576.15
1,2,1567,3688,51,6,0.258,6,792812.02
7,2,526,3490,62,6,0.565,9,1016905.22
4,3,1047,4891,73,2,0.504,2,514012.93
1,3,3168,8082,62,4,0.203,2,827994.14
1,5,1066,7049,16,4,0.068,2,718500.09
1,2,1203,1490,48,1,0.171,6,445648.72
6,2,4780,9519,22,2,0.984,2,1200950.84
5,3,3640,2295,71,3,0.469,3,909998.0
6,1,2090,1692,12,5,0.867,8,1029639.2
2,1,1305,9378,22,8,0.849,8,1028374.65
4,4,4291,6673,56,6,0.512,4,1284319.89
5,3,1857,5303,61,3,0.707,9,996124.54
5,4,3725,1697,53,6,0.193,8,1288052.4
5,3,4118,1510,19,7,0.688,1,1160939.3
7,5,2626,4495,51,6,0.272,8,1352748.27
5,2,2960,3486,22,10,0.832,1,1210954.78
6,5,1045,7988,34,6,0.084,4,1071022.34
5,3,3228,6578,66,1,0.773,10,1100342.68
3,2,4234,8568,33,3,0.1,6,1161499.37
4,1,3062,5813,32,7,0.881,7,1166963.6
5,1,2579,5312,45,4,0.304,10,1081016.21
4,4,3141,1215,44,4,0.654,4,956650.42
3,3,3614,4980,18,7,0.488,8,1308456.58
3,3,2426,5062,14,9,0.366,8,1286474.11
4,1,1116,3315,77,2,0.645,9,634453.77
1,5,4144,9801,65,9,0.948,6,1372018.08
2,2,1703,6440,38,3,0.041,4,694378.38
7,5,2259,7416,17,6,0.919,2,1205938.14
1,5,3065,1792,69,4,0.609,7,866298.95
1,1,3674,5170,58,1,0.807,10,816246.38
6,1,3581,2573,31,9,0.384,3,1340049.99
7,1,3130,4361,20,6,0.472,3,1151951.92
7,4,3661,4616,39,8,0.869,3,1393319.18
1,5,4821,7433,26,2,0.415,4,1051989.44
5,3,1169,2556,1,7,0.535,2,873209.05
6,2,3668,3173,79,6,0.02,5,1196076.53
6,4,2621,3376,38,2,0.159,3,930577.35
3,3,4578,9883,55,2,0.642,10,1297649.98
7,5,4651,4984,12,4,0.717,5,1461940.94
1,1,1219,9699,55,4,0.583,7,715613.79
3,5,3100,3197,65,3,0.143,9,1032298.0
4,2,4098,6769,77,8,0.445,2,1239370.24
2,4,1166,5335,55,7,0.355,9,1004947.02
6,4,783,7683,27,2,0.496,10,977393.41
4,2,4403,8927,63,3,0.87,6,1159659.27
4,3,4065,9968,70,10,0.776,6,1516241.04
5,3,2734,1534,63,9,0.084,3,1133146.93
2,4,1965,1432,55,5,0.89,10,922877.01
4,4,629,5068,40,2,0.472,9,799874.66
4,1,2560,4899,40,3,0.744,4,804170.29
2,3,4172,3701,3,8,0.14,5,1297542.62
2,2,2994,2463,56,4,0.671,3,770969.17
4,3,1492,6391,29,2,0.236,5,810216.78
2,1,2621,4672,45,2,0.438,8,790007.21
4,4,3084,1854,55,6,0.017,8,1151225.82
4,4,4696,9372,30,8,0.152,8,1665240.0
5,1,2723,3882,6,7,0.092,6,1214761.67
1,2,3688,8807,76,4,0.24,1,777609.57
4,4,3737,5061,53,2,0.1,10,1190197.39
3,5,4636,3189,7,9,0.692,6,1496666.16
6,4,843,4353,54,4,0.029,10,1021352.91
7,5,4961,5938,68,9,0.618,7,1723032.38
1,1,2776,1344,43,5,0.141,9,885486.21
1,1,3701,4463,12,7,0.945,8,1165969.83
1,4,1388,3039,19,5,0.933,8,803262.03
5,3,2543,4573,77,2,0.226,7,939131.47
4,5,1841,3427,31,6,0.614,2,906133.38
5,2,4220,7418,59,7,0.028,1,1270035.12
4,4,3383,7580,49,6,0.932,2,1117493.12
5,2,4712,8815,26,3,0.523,6,1323630.5
5,4,2915,3930,24,10,0.043,2,1320393.07
6,3,1617,896,51,8,0.342,10,1221192.5
3,3,4763,4658,67,3,0.077,4,1019018.3
5,3,3501,3508,20,5,0.393,10,1302233.49
6,3,2238,6197,17,9,0.67,3,1271841.61
2,1,1864,6952,38,5,0.47,6,801349.23
3,1,3208,1256,14,7,0.384,8,1129268.39
5,5,1424,6714,52,7,0.119,6,1150123.18
7,2,651,5168,37,5,0.245,2,817167.2
1,4,1085,4888,47,2,0.1,5,558628.77
2,4,1412,9199,51,5,0.807,6,892001.64
2,1,2821,2737,71,7,0.135,9,1050195.9
6,4,995,1946,27,7,0.595,6,1018901.01
2,1,4295,5952,15,4,0.343,10,1213288.84
3,5,2648,5099,15,1,0.226,5,871314.78
5,2,1056,8918,34,6,0.639,1,813702.4
5,5,2052,9434,16,3,0.457,10,1240904.24
7,3,2620,8559,72,5,0.4,5,1216274.35
1,3,3585,8753,51,4,0.593,5,1009442.86
6,3,4004,5584,11,2,0.491,6,1203694.67
1,5,656,9824,47,7,0.303,7,924516.04
2,4,1234,2261,21,5,0.559,4,724282.11
7,2,3776,1959,48,7,0.669,7,1373435.47
1,3,654,1186,51,9,0.027,5,767447.01
3,3,1496,7992,78,4,0.466,6,824846.09
5,3,2794,5575,0,5,0.058,4,1176716.62
2,2,3405,4209,65,9,0.186,8,1221197.27
7,3,1677,1489,63,10,0.561,9,1314070.6
1,2,653,7828,7,4,0.866,2,583812.11
6,3,4687,8062,24,5,0.883,4,1399593.78
3,5,2216,6464,65,5,0.07,8,1058853.26
3,5,3702,7566,72,8,0.419,8,1393222.88
1,2,3357,1752,72,4,0.583,9,861966.4
5,5,1286,6942,76,4,0.147,3,868953.25
1,2,4868,6767,69,7,0.765,1,1049831.06
2,5,4772,8005,78,5,0.744,9,1353960.69
1,5,4267,3284,50,6,0.903,1,972848.7
3,2,3378,2654,52,6,0.008,3,937572.43
7,4,1142,4031,14,6,0.217,3,1051942.4
1,5,1165,3397,49,10,0.827,9,1065859.27
5,3,3926,8629,70,5,0.671,1,1135505.16
7,4,4283,8986,74,5,0.894,7,1454520.26
6,2,4201,4783,37,9,0.057,2,1395839.11
4,4,1569,7763,39,8,0.597,7,1193219.34
1,1,2849,7484,65,4,0.569,1,705990.39
5,1,1712,1456,38,7,0.036,10,1105983.36
7,5,1652,8543,73,8,0.514,10,1442391.7
5,5,3011,7639,16,9,0.61,8,1543168.25
6,3,643,7112,6,5,0.191,10,1109977.39
3,4,2989,8738,38,3,0.273,10,1202138.59
5,1,3728,6976,67,4,0.64,2,1012548.28
7,5,3705,4085,34,10,0.468,3,1556115.48
5,4,4743,6359,50,6,0.858,8,1484801.09
5,5,3642,4363,46,10,0.342,3,1440141.12
5,5,3804,5384,35,5,0.267,1,1196185.24
2,1,1857,5617,63,9,0.985,9,1073833.17
2,1,3213,5841,12,3,0.911,8,978600.52
3,5,4685,6982,17,2,0.029,4,1196166.42
1,2,1857,8826,20,6,0.771,8,954644.93
5,5,4794,4044,64,7,0.11,5,1457773.17
6,5,3692,1840,7,5,0.027,3,1263121.55
1,3,800,3073,47,1,0.274,1,307440.6
6,3,1223,4429,42,3,0.269,10,1025967.84
1,3,3510,2914,52,3,0.819,5,798626.99
3,2,567,8164,26,4,0.711,6,788789.74
5,2,4336,2477,18,10,0.982,4,1388574.26
5,5,4493,3894,22,6,0.712,7,1466826.84
4,3,3006,9990,49,5,0.418,3,1080149.59
6,2,2037,6673,50,1,0.699,7,849805.56
1,1,897,3084,42,6,0.999,1,462334.51
1,5,3857,5852,50,9,0.71,7,1300236.55
2,4,1663,7862,68,1,0.762,1,513471.44
4,5,1055,2389,40,8,0.938,1,848175.38
7,4,4161,3320,71,8,0.114,2,1405890.83
7,3,2251,5448,10,3,0.705,2,948678.3
2,4,3441,6529,79,9,0.851,4,1190618.9
2,3,3157,1494,51,8,0.954,1,906481.61
2,1,3295,8607,22,3,0.211,4,944566.98
6,4,2829,4483,48,10,0.504,2,1303304.98
6,5,2459,7504,37,5,0.681,4,1148965.11
3,3,2101,8168,46,3,0.247,4,819780.01
3,5,3293,2771,71,5,0.6,9,1108243.85
2,2,1980,8855,6,9,0.258,9,1282356.28
4,3,1602,5018,65,4,0.333,1,727988.44
1,4,3776,2668,76,6,0.442,5,979080.97
6,3,1799,2471,61,3,0.529,7,909932.71
4,5,4379,2528,28,3,0.449,4,1101121.16
5,1,2035,8432,37,5,0.493,5,1016296.42
6,3,577,7203,32,8,0.299,2,1013721.25
6,4,3331,6892,28,8,0.159,3,1368647.5
3,2,3910,2942,78,3,0.047,7,974612.33
1,1,3221,6984,22,8,0.196,10,1277718.34
1,2,4127,6810,2,8,0.582,7,1260664.59
7,3,2032,1053,44,3,0.786,4,896309.06
7,5,737,4902,7,10,0.169,1,1204603.59
7,5,2496,4342,28,10,0.109,1,1383244.55
7,4,3927,3575,1,2,0.749,4,1185535.61
5,5,777,8478,49,10,0.305,4,1159595.55
5,1,3589,7012,64,2,0.951,6,998051.26
6,5,1023,5437,19,9,0.714,7,1275648.19
2,4,4775,6834,51,7,0.327,9,1457472.31
3,3,4718,9257,36,6,0.29,9,1514552.14
3,3,3622,7276,71,7,0.524,10,1352701.28
7,5,2297,3948,26,8,0.079,5,1400074.75
6,2,2631,4159,46,1,0.118,10,1037077.08
4,3,1315,1804,5,8,0.176,3,943755.75
2,5,3194,5517,59,3,0.775,3,852601.66
6,4,942,4071,44,3,0.514,6,861073.27
2,5,3640,1009,43,6,0.011,1,992247.13
2,3,642,9879,17,4,0.674,7,786079.32
2,4,4787,6339,64,4,0.424,3,1094190.75
6,5,1910,953,24,4,0.511,5,1018900.83
7,1,4973,4393,26,10,0.214,7,1720115.82
3,4,1034,9406,6,9,0.552,7,1224220.24
3,1,2216,2084,43,8,0.979,9,1054012.35
7,2,3864,3948,28,3,0.073,1,1106107.21
2,4,1532,1568,43,1,0.284,3,480304.79
4,1,3842,9974,35,1,0.243,9,1129761.97
1,3,1910,6407,18,1,0.249,8,748295.44
6,3,1672,4002,5,4,0.379,2,873585.56
1,2,1388,3587,24,6,0.818,8,806005.19
7,4,3838,3010,30,4,0.913,8,1345167.53
4,4,2141,8199,8,3,0.202,2,964492.71
6,4,971,7138,73,8,0.543,8,1190684.36
7,2,3440,9533,36,8,0.637,3,1430114.57
2,4,1046,1158,26,6,0.522,7,836869.52
3,3,4097,1649,12,9,0.434,9,1425626.85
1,1,3325,8298,40,10,0.192,4,1192058.35
5,3,4223,5322,65,1,0.488,6,1109808.25
5,3,863,3344,23,8,0.401,9,1124307.56
4,1,2666,2631,43,6,0.796,5,970568.61
2,3,3809,2272,59,1,0.764,1,665094.76
1,2,1045,1129,8,4,0.134,3,499717.73
2,1,3740,6651,1,5,0.089,9,1232079.59
1,3,2436,7832,55,7,0.908,3,903994.95
4,5,1462,6066,29,8,0.536,10,1283059.18
4,3,3505,5154,21,9,0.858,2,1234197.75
5,2,4306,7235,74,6,0.058,4,1255181.61
2,4,1382,8778,12,10,0.527,5,1157529.8
6,3,4340,5038,70,9,0.539,7,1537654.1
5,4,1370,6912,15,4,0.861,7,1040789.69
2,5,3485,5522,44,8,0.098,9,1414086.22
5,3,1365,2188,64,3,0.24,8,857491.96
6,1,4809,4985,10,4,0.407,2,1248633.7
3,4,3703,9711,69,10,0.866,8,1481693.19
3,5,3397,4035,19,4,0.939,8,1144712.08
3,1,2744,5376,62,6,0.993,5,928348.52
3,1,518,1900,11,9,0.959,3,743061.22
7,1,1141,9664,61,6,0.006,9,1199944.11
1,1,3583,9508,41,1,0.048,7,910629.72
7,3,829,3332,68,5,0.148,1,787445.8
7,3,1365,8570,57,9,0.349,8,1382752.69
7,3,1273,4470,4,5,0.83,10,1166568.18
3,5,4987,1581,26,6,0.893,5,1315066.57
6,5,2854,4323,27,3,0.187,6,1145177.09
4,5,3838,6931,25,8,0.62,9,1531861.28
4,2,4018,5582,48,10,0.917,10,1546592.32
1,5,3442,5795,20,4,0.464,8,1140057.47
3,3,3067,2301,0,4,0.104,3,948620.27
3,3,2174,3880,57,5,0.458,5,870496.08
3,2,3183,1302,78,10,0.376,4,1108403.08
5,2,3880,4685,54,9,0.578,1,1242128.54
2,5,1239,8809,25,8,0.439,5,1042890.98
5,4,2045,1423,24,7,0.017,10,1232157.6
2,2,2759,1850,76,5,0.994,7,822803.48
3,1,1635,8185,32,9,0.544,1,946297.14
3,3,1373,6881,71,9,0.474,4,982406.65
5,1,2800,6284,68,10,0.955,6,1285452.03
5,3,1251,4572,5,10,0.156,9,1331950.47
2,3,1353,4716,22,2,0.189,8,755489.58
4,2,4232,4818,29,4,0.808,2,1037408.26
2,2,2783,2129,77,8,0.261,3,934457.18
5,1,1829,4914,53,1,0.799,10,829924.27
6,3,977,4167,10,5,0.272,5,1008794.45
5,1,3226,8895,30,8,0.033,7,1415410.23
6,4,3591,5941,5,2,0.517,3,1122116.46
1,1,4730,4751,10,2,0.197,7,1009781.04
5,5,1769,5884,76,8,0.758,5,1099202.23
1,1,4681,2373,11,10,0.641,10,1420801.15
4,5,3103,3434,65,9,0.924,6,1259747.87
2,5,1969,3568,52,7,0.783,6,978386.4
6,5,877,6102,35,8,0.181,4,1125206.69
2,4,2180,7050,16,5,0.8,8,1052338.54
1,1,741,2011,27,1,0.642,9,482179.57
6,1,1419,9767,21,4,0.669,2,888913.83
2,4,569,6755,6,2,0.832,9,784363.13
5,3,4424,1960,14,3,0.574,4,1106863.78
3,2,2586,6777,10,3,0.466,6,944548.33
1,1,2507,7841,23,9,0.637,7,1120523.74
2,2,1300,3183,66,10,0.298,4,904490.13
1,4,3279,6676,29,4,0.183,8,1039554.17
7,3,1255,4340,69,2,0.617,10,914187.69
1,3,2495,5435,65,3,0.234,8,826753.06
6,3,1821,1895,60,3,0.08,1,763447.55
7,4,2830,6701,77,7,0.001,8,1422586.84
6,5,609,9015,40,8,0.608,10,1285949.05
3,5,1516,1879,50,6,0.362,3,792456.67
7,2,4365,9170,43,4,0.752,5,1398559.79
5,5,524,3647,12,6,0.375,10,1086647.3
1,5,3338,2760,11,1,0.486,8,886100.73
2,3,1237,2273,8,10,0.407,6,1061097.45
4,3,679,5688,47,8,0.651,4,922411.94
1,2,731,5779,48,1,0.356,4,418981.19
1,1,2417,2012,52,5,0.964,4,635079.16
3,2,842,6497,55,2,0.936,6,561177.89
5,2,3123,9801,39,6,0.848,7,1292543.33
4,4,954,1219,23,9,0.92,5,985062.52
7,4,4884,4459,71,5,0.449,10,1573602.04
7,2,2776,6083,32,4,0.536,8,1259543.68
7,2,1095,2140,22,2,0.742,7,789424.66
6,2,4374,5937,76,3,0.696,8,1262013.9
6,5,4997,5989,53,6,0.891,4,1443437.5
2,4,3169,2161,52,8,0.716,8,1186814.71
4,2,2635,1391,48,8,0.998,6,1052620.87
7,3,4464,1326,77,5,0.349,3,1192970.56
